Name,Published Date,Price,Discount,Reviews
The First Descendant,"Jun 30, 2024",N/A,Free,15080
Steam Deck,,$349.00,$296.65,N/A
ELDEN RING,"Feb 24, 2022",$59.99,$41.99,652695
ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",N/A,$39.99,65617
Baldur's Gate 3,"Aug 3, 2023",$59.99,$47.99,554768
Counter-Strike 2,"Aug 21, 2012",N/A,Free,129493
Destiny 2,"Oct 1, 2019",N/A,Free,605021
FINAL FANTASY XIV Online,"Feb 18, 2014",N/A,$19.99,68760
MapleStory,"Aug 9, 2012",N/A,Free,12829
Cyberpunk 2077,"Dec 9, 2020",$59.99,$29.99,662388
Chained Together,"Jun 19, 2024",N/A,$4.99,10061
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,"Jun 13, 2024",$49.99,$34.49,3003
War Thunder,"Aug 15, 2013",N/A,Free,504741
Fallout 76,"Apr 14, 2020",$39.99,$9.99,59217
The Sims™ 4,"Jun 18, 2020",N/A,Free,141420
Red Dead Redemption 2,"Dec 5, 2019",$59.99,$19.79,540608
Call of Duty®: Black Ops III,"Nov 5, 2015",$59.99,$19.79,127187
Grand Theft Auto V,"Apr 13, 2015",$39.98,$14.98,662128
Apex Legends™,"Nov 4, 2020",N/A,Free,840513
Dead by Daylight,"Jun 14, 2016",$19.99,$7.99,528467
Hogwarts Legacy,"Feb 10, 2023",$59.99,$23.99,194024
Manor Lords,"Apr 26, 2024",$39.99,$29.99,42936
Sekiro™: Shadows Die Twice - GOTY Edition,"Mar 21, 2019",$59.99,$29.99,208586
Palworld,"Jan 18, 2024",$29.99,$22.49,264182
The Elder Scrolls® Online,"May 22, 2017",$19.99,$5.99,121379
Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",$19.99,$7.99,101810
PowerWash Simulator,"Jul 14, 2022",$24.99,$17.49,39580
Total War: WARHAMMER III,"Feb 16, 2022",$59.99,$29.99,73025
HELLDIVERS™ 2,"Feb 8, 2024",N/A,$39.99,649864
American Truck Simulator,"Feb 2, 2016",$19.99,$1.99,125686
Black Desert,"May 24, 2017",$9.99,$0.99,55197
Warframe,"Mar 25, 2013",N/A,Free,581386
Supermarket Simulator,"Feb 20, 2024",$12.99,$9.09,38371
FINAL FANTASY XIV: Dawntrail,"Jul 2, 2024",N/A,$39.99,1435
Ready or Not,"Dec 13, 2023",$49.99,$33.49,142155
The Witcher 3: Wild Hunt,"May 18, 2015",$39.99,$3.99,712381
Stardew Valley,"Feb 26, 2016",$14.99,$8.99,614599
Horizon Forbidden West™ Complete Edition,"Mar 21, 2024",$59.99,$47.99,9300
ARMORED CORE™ VI FIRES OF RUBICON™,"Aug 24, 2023",$59.99,$41.99,53471
Tom Clancy's Ghost Recon® Breakpoint,"Jan 23, 2023",$59.99,$5.99,18356
NARAKA: BLADEPOINT,"Aug 11, 2021",N/A,Free,231651
Call of Duty®: Modern Warfare® III,"Nov 10, 2023",$69.99,$45.49,9776
Cyberpunk 2077: Phantom Liberty,"Sep 25, 2023",$29.99,$25.49,14798
Stellaris,"May 9, 2016",$39.99,$11.99,117341
Sid Meier’s Civilization® VI,"Oct 20, 2016",$59.99,$2.99,229247
Persona 3 Reload,"Feb 1, 2024",$69.99,$48.99,16295
Lost Ark,"Feb 11, 2022",N/A,Free,199910
Jurassic World Evolution 2,"Nov 9, 2021",$59.99,$5.99,23393
Rust,"Feb 8, 2018",$39.99,$26.79,888619
RimWorld,"Oct 17, 2018",$34.99,$27.99,159756
